annee,compte,budget
2024,616,23500
2024,615,18000
2026,616,26000
2026,615,20000
2025,601,670
2025,602,3800
2025,604,0
2025,606,300
2025,611,9000
2025,613,860
2025,614,4850
2025,615,5100
2025,616,3810
2025,6211,7410
2025,6213,1000
2025,6222,0
2025,6223,0
2025,623,3000
2025,624,100
2025,662,100
2025,671,0
2025,672,0
2025,678,0
